"resultado","convocatoria","escalafon","sexo","disciplina_codigo","n"
"Denegado","2012","Becas doctorales","M","KB4",11
"Denegado","2012","Becas doctorales","M","KE1",13
"Denegado","2012","Becas doctorales","M","KE2",5
"Denegado","2012","Becas doctorales","M","KE3",19
"Denegado","2012","Becas doctorales","M","KE4",4
"Denegado","2012","Becas doctorales","M","KE5",11
"Denegado","2012","Becas doctorales","M","KS1",45
"Denegado","2012","Becas doctorales","M","KS2",37
"Denegado","2012","Becas doctorales","M","KS3",37
"Denegado","2012","Becas doctorales","M","KS4",72
"Denegado","2012","Becas doctorales","M","KS5",39
"Denegado","2012","Becas doctorales","M","KS6",11
"Denegado","2012","Becas doctorales","M","KS7",21
"Denegado","2012","Becas doctorales","M","KT1",1
"Denegado","2012","Becas externas","F","KB2",1
"Denegado","2012","Becas externas","F","KE3",1
"Denegado","2012","Becas externas","M","KB1",1
"Denegado","2012","Becas externas","M","KB2",1
"Denegado","2012","Becas externas","M","KE4",1
"Denegado","2012","Becas externas","M","KS6",1
"Denegado","2012","Becas postdoctorales","F","KA1",7
"Denegado","2012","Becas postdoctorales","F","KA2",2
"Denegado","2012","Becas postdoctorales","F","KA3",5
"Denegado","2012","Becas postdoctorales","F","KA5",12
"Denegado","2012","Becas postdoctorales","F","KB1",48
"Denegado","2012","Becas postdoctorales","F","KB2",85
"Denegado","2012","Becas postdoctorales","F","KB3",31
"Denegado","2012","Becas postdoctorales","F","KB4",17
"Denegado","2012","Becas postdoctorales","F","KE1",24
"Denegado","2012","Becas postdoctorales","F","KE2",4
"Denegado","2012","Becas postdoctorales","F","KE3",6
"Denegado","2012","Becas postdoctorales","F","KE5",11
"Denegado","2012","Becas postdoctorales","F","KS1",13
"Denegado","2012","Becas postdoctorales","F","KS2",22
"Denegado","2012","Becas postdoctorales","F","KS3",22
"Denegado","2012","Becas postdoctorales","F","KS4",78
"Denegado","2012","Becas postdoctorales","F","KS5",48
"Denegado","2012","Becas postdoctorales","F","KS6",6
"Denegado","2012","Becas postdoctorales","F","KS7",23
"Denegado","2012","Becas postdoctorales","F","KT1",9
"Denegado","2012","Becas postdoctorales","M","KA1",2
"Denegado","2012","Becas postdoctorales","M","KA2",7
"Denegado","2012","Becas postdoctorales","M","KA3",2
"Denegado","2012","Becas postdoctorales","M","KA4",2
"Denegado","2012","Becas postdoctorales","M","KA5",2
"Denegado","2012","Becas postdoctorales","M","KB1",8
"Denegado","2012","Becas postdoctorales","M","KB2",47
"Denegado","2012","Becas postdoctorales","M","KB3",13
"Denegado","2012","Becas postdoctorales","M","KB4",6
"Denegado","2012","Becas postdoctorales","M","KE1",9
"Denegado","2012","Becas postdoctorales","M","KE2",3
"Denegado","2012","Becas postdoctorales","M","KE3",6
"Denegado","2012","Becas postdoctorales","M","KE5",7
"Denegado","2012","Becas postdoctorales","M","KS1",26
"Denegado","2012","Becas postdoctorales","M","KS2",15
"Denegado","2012","Becas postdoctorales","M","KS3",9
"Denegado","2012","Becas postdoctorales","M","KS4",39
"Denegado","2012","Becas postdoctorales","M","KS5",32
"Denegado","2012","Becas postdoctorales","M","KS6",6
"Denegado","2012","Becas postdoctorales","M","KS7",5
"Denegado","2012","Becas postdoctorales","M","KT1",4
"Denegado","2012",NA,"F","KA1",24
"Denegado","2012",NA,"F","KA2",6
"Denegado","2012",NA,"F","KA3",9
"Denegado","2012",NA,"F","KA4",1
"Denegado","2012",NA,"F","KA5",23
"Denegado","2012",NA,"F","KB1",8
"Denegado","2012",NA,"F","KB2",15
"Denegado","2012",NA,"F","KB3",7
"Denegado","2012",NA,"F","KB4",8
"Denegado","2012",NA,"F","KE1",7
"Denegado","2012",NA,"F","KE2",1
"Denegado","2012",NA,"F","KE3",2
"Denegado","2012",NA,"F","KE5",9
"Denegado","2012",NA,"F","KS1",6
"Denegado","2012",NA,"F","KS2",1
"Denegado","2012",NA,"F","KS4",9
"Denegado","2012",NA,"F","KS5",4
"Denegado","2012",NA,"F","KS6",2
"Denegado","2012",NA,"F","KS7",9
"Denegado","2012",NA,"M","KA1",11
"Denegado","2012",NA,"M","KA2",9
"Denegado","2012",NA,"M","KA3",3
"Denegado","2012",NA,"M","KA4",5
"Denegado","2012",NA,"M","KA5",5
"Denegado","2012",NA,"M","KB1",2
"Denegado","2012",NA,"M","KB2",9
"Denegado","2012",NA,"M","KB3",6
"Denegado","2012",NA,"M","KB4",6
"Denegado","2012",NA,"M","KE1",8
"Denegado","2012",NA,"M","KE3",4
"Denegado","2012",NA,"M","KE5",3
"Denegado","2012",NA,"M","KS1",3
"Denegado","2012",NA,"M","KS3",1
"Denegado","2012",NA,"M","KS4",6
"Denegado","2012",NA,"M","KS5",3
"Denegado","2012",NA,"M","KS6",2
"Denegado","2013","Becas doctorales","F","KA1",58
"Denegado","2013","Becas doctorales","F","KA2",5
"Denegado","2013","Becas doctorales","F","KA3",16
"Denegado","2013","Becas doctorales","F","KA4",4
"Denegado","2013","Becas doctorales","F","KA5",51
"Denegado","2013","Becas doctorales","F","KB1",55
"Denegado","2013","Becas doctorales","F","KB2",110
"Denegado","2013","Becas doctorales","F","KB3",37
"Denegado","2013","Becas doctorales","F","KB4",22
"Denegado","2013","Becas doctorales","F","KE1",27
"Denegado","2013","Becas doctorales","F","KE2",11
"Denegado","2013","Becas doctorales","F","KE3",8
"Denegado","2013","Becas doctorales","F","KE4",7
"Denegado","2013","Becas doctorales","F","KE5",15
"Denegado","2013","Becas doctorales","F","KS1",43
"Denegado","2013","Becas doctorales","F","KS2",67
"Denegado","2013","Becas doctorales","F","KS3",25
"Denegado","2013","Becas doctorales","F","KS4",101
"Denegado","2013","Becas doctorales","F","KS5",107
"Denegado","2013","Becas doctorales","F","KS6",16
"Denegado","2013","Becas doctorales","F","KS7",63
"Denegado","2013","Becas doctorales","F","KS8",15
